MOF,molecule,PLD,LCD,VF,Tc,Pc,w,logK,Label,No Adsorption,CatPredicted
ABUWOJ,"C7H12_1,5-heptadiene",4.03039,5.07969,0.545974,536.7652346,30.48214368,0.295571623,1.355736869,Reasonable,1,1
ABUWOJ,"C6H14_2,3-dimethylbutane",4.03039,5.07969,0.545974,503.0672531,31.56375605,0.24224795,-2.005988765,Reasonable,1,1
ABUWOJ,C6H14_3-methylpentane,4.03039,5.07969,0.545974,504.839777,31.13915414,0.283296142,-0.706286174,Reasonable,1,1
ABUWOJ,C6H10O_4-hexen-2-one,4.03039,5.07969,0.545974,559.6621075,36.9790055,0.446231587,1.410487045,Reasonable,1,1
ABUWOJ,C7H14_4-methyl-1-hexene,4.03039,5.07969,0.545974,528.1554514,29.38650495,0.298584169,-0.082243019,Reasonable,1,1
ABUWOJ,C6H10O_4-methyl-4-penten-2-one,4.03039,5.07969,0.545974,583.9572407,32.17602658,0.427070778,1.063671054,Reasonable,1,1
ABUWOJ,"C7H14_4,4-dimethyl-1-pentene",4.03039,5.07969,0.545974,524.3589038,29.54818473,0.250217308,-1.634390355,Reasonable,1,1
ABUWOJ,C2H4O_acetaldehyde,4.03039,5.07969,0.545974,470.1338418,53.98284491,0.288582571,-2.649403135,Reasonable,1,1
ABUWOJ,C3H6O_acetone,4.03039,5.07969,0.545974,504.9011578,46.13534273,0.299578863,-1.183828325,Reasonable,1,1
ABUWOJ,C2H3N_acetonitrile,4.03039,5.07969,0.545974,537.4197556,47.22182044,0.356500544,-2.716701033,Reasonable,1,1
ABUWOJ,C2H6O_dimethylether,4.03039,5.07969,0.545974,410.1055119,48.43551489,0.231685091,-2.597192009,Reasonable,1,1
ABUWOJ,C2H7N_dimethylamine,4.03039,5.07969,0.545974,449.2982222,53.95656635,0.291520542,-2.075548065,Reasonable,1,1
ABUWOJ,C2H6_ethane,4.03039,5.07969,0.545974,381.7893216,50.31694546,0.216958597,-3.459306471,Reasonable,1,1
ABUWOJ,C2H4_ethene,4.03039,5.07969,0.545974,298.4582448,49.65797888,0.123012676,-3.783897464,Reasonable,1,1
ABUWOJ,CHN_hydrogen-cyanide,4.03039,5.07969,0.545974,447.2483409,53.04824853,0.333232947,-3.826723384,Reasonable,1,1
ABUWOJ,C4H10_isobutane,4.03039,5.07969,0.545974,443.0106967,38.8550635,0.197655762,-2.08857497,Reasonable,1,1
ABUWOJ,C5H12_isopentane,4.03039,5.07969,0.545974,474.7591203,34.73587842,0.239525866,-1.345779164,Reasonable,1,1
ABUWOJ,C3H8O_isopropylalcohol,4.03039,5.07969,0.545974,515.5796221,48.73405441,0.575735407,-2.074653352,Reasonable,1,1
ABUWOJ,CH4_methane,4.03039,5.07969,0.545974,190.564,45.992,0.01142,-4.749579998,Reasonable,1,1
